PAM (Website),SQL databse PAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
promo code,Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
owner,Owner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bill facing name,bill facing name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orbit id,orbit_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orbit notes,description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
promo notes,promo_notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% discount,discount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amount ($),amount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nseip drop,nseip_drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dcd web cart,dcd_web_cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product ype,product_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bogo,bogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bolt trade in group id,bolt_trade_in_grp_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fpd display promo,fpd_display_promo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
on menu,on_menu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
market group,market_group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
store group,store_group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
start date,promo_start_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
end date,promo_end_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comm end date,comm_end_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duration,promo_duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
delay time,delay_time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
application grace period,application_grace_period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device sales type,device_sales_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activation type,activation_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
active line required,active_line_required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maintain soc,maintain_soc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
limit per ban,limit_per_ban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soc grouping,soc_grouping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Account Type,account_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales Applications,sales_application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operator id,operator_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sku group id,sku_group_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
device status group id,device_status_group_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clawback indicator,clawback_indicator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
broken trade,Broken_Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Anticipated_volume_take_rates_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
desired execution or type,Desired_Execution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
status,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eligible trade-in devices,crffc_eligibletradeindevices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,cat_lobchannelhorizontalname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
promo type,cat_additionaleligibilityrequirementsname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eligible purchase devices,cat_eligibledevices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orbit sales apps,cat_channelsname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
description,cat_description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
initiative name,initiative_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2 article,c2_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rdc grace,promo_grace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trade in grace,trade_in_grace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bptcr,bptcr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trade in group id,trade_in_group_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maintain active line,maintain_active_line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minimum GSM count,min_gsm_count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maximum GSM count,max_gsm_count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
port-in group id,port_in_group_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mpss lookback,mpss_lookback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sku link address,sku_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trade-in link address,tradein_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
segment name,segment_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub segment,sub_segment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
segment group id,segment_group_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
segment level,segment_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flow indicator,flow_ind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
