marketing_alias,manufacturer_name
NOK 6103,NOK 6103
NOK 8801,NOK 8801
NOK 6030,NOK 6030
NOK 6136,NOK 6136
NOK 3390,NOK 3390
NOK 3650,NOK 3650
HAR 4G ADPTR FCA UCONNECT ACC,HAR 4G ADPTR FCA UCONNECT ACC
APL IPHONE 7 PLUS 128G,APL IPHONE 7 PLUS 128G
APL IPHONE 7 PLUS 256G,APL IPHONE 7 PLUS 256G
APL IPHONE 6S 32G,APL IPHONE 6S 32G
APL IPHONE 6S PLUS 32G,APL IPHONE 6S PLUS 32G
APL IPHONE 7 32G,APL IPHONE 7 32G
APL IPHONE 7 128G,APL IPHONE 7 128G
APL IPHONE 7 256G,APL IPHONE 7 256G
APL IPHONE 7 V2 32G,APL IPHONE 7 V2 32G
APL WAT S1 38,APL WAT S1 38
APL WAT S1 42,APL WAT S1 42
APL IPHONE 7 PLUS 32G,APL IPHONE 7 PLUS 32G
APL IPAD AIR 2 32G,APL IPAD AIR 2 32G
APL IPAD MINI 4 32G,APL IPAD MINI 4 32G
APL IPAD WI-FI CELL 32G,APL IPAD WI-FI CELL 32G
APL IPAD WI-FI CELL 128G,APL IPAD WI-FI CELL 128G
APL IPHONE SE 32G,APL IPHONE SE 32G
APL IPHONE SE 128G,APL IPHONE SE 128G
APL IPAD PRO 12.9 WIFI 256G,APL IPAD PRO 12.9 WIFI 256G
APL IPAD PRO 10.5 WIFI 256G,APL IPAD PRO 10.5 WIFI 256G
APL IPAD PRO 12.9 WIFI 512G,APL IPAD PRO 12.9 WIFI 512G
APL IPAD PRO 10.5 WIFI 512G,APL IPAD PRO 10.5 WIFI 512G
APL IPHONE 8 64G,APL IPHONE 8 64G
APL IPHONE 8 V2 64G,APL IPHONE 8 V2 64G
APL IPHONE 8 256G,APL IPHONE 8 256G
APL IPHONE 8 PLUS 64G,APL IPHONE 8 PLUS 64G
APL IPHONE 8 PLUS 256G,APL IPHONE 8 PLUS 256G
APL IPHONE 8 PLUS V2 64G,APL IPHONE 8 PLUS V2 64G
APL IPHONE X 64G,APL IPHONE X 64G
APL IPHONE X 256G,APL IPHONE X 256G
APL IPAD PRO 12.9 WIFI 64G,APL IPAD PRO 12.9 WIFI 64G
APL IPAD PRO 10.5 WIFI 64G,APL IPAD PRO 10.5 WIFI 64G
APL WAT S3 38,APL WAT S3 38
APL WAT N+S3 38,APL WAT N+S3 38
APL WAT S3 42,APL WAT S3 42
APL WAT N+S3 42,APL WAT N+S3 42
APL IPAD 6TH GEN 32G,APL IPAD 6TH GEN 32G
APL IPAD 6TH GEN 128G,APL IPAD 6TH GEN 128G
APL IPHONE XR 64G,APL IPHONE XR 64G
APL IPHONE XR 128G,APL IPHONE XR 128G
APL IPHONE XR 256G,APL IPHONE XR 256G
APL IPHONE XS MAX 64G,APL IPHONE XS MAX 64G
APL IPHONE XS MAX 256G,APL IPHONE XS MAX 256G
APL IPHONE XS MAX 512G,APL IPHONE XS MAX 512G
APL IPHONE XS 64G,APL IPHONE XS 64G
APL IPHONE XS 256G,APL IPHONE XS 256G
APL IPHONE XS 512G,APL IPHONE XS 512G
APL IPAD PRO 129 3GEN 64G,APL IPAD PRO 129 3GEN 64G
APL IPAD PRO 129 3GEN 256G,APL IPAD PRO 129 3GEN 256G
APL IPAD PRO 129 3GEN 512G,APL IPAD PRO 129 3GEN 512G
APL IPAD PRO 129 3GEN 1T,APL IPAD PRO 129 3GEN 1T
APL WAT S4 40,APL WAT S4 40
APL WAT S4 44,APL WAT S4 44
APL IPAD PRO 11 64G,APL IPAD PRO 11 64G
APL IPAD PRO 11 256G,APL IPAD PRO 11 256G
APL IPAD PRO 11 512G,APL IPAD PRO 11 512G
APL IPAD PRO 11 1T,APL IPAD PRO 11 1T
APL IPAD MINI 5 64G,APL IPAD MINI 5 64G
APL IPAD MINI 5 256G,APL IPAD MINI 5 256G
APL IPAD AIR 3 10.5 64G,APL IPAD AIR 3 10.5 64G
APL IPAD AIR 3 10.5 256G,APL IPAD AIR 3 10.5 256G
APL IPHONE 11 64G,APL IPHONE 11 64G
APL IPHONE 11 128G,APL IPHONE 11 128G
APL IPHONE 11 256G,APL IPHONE 11 256G
APL WAT S5 40,APL WAT S5 40
APL WAT S5 44,APL WAT S5 44
APL IPAD 7TH GEN 32G,APL IPAD 7TH GEN 32G
APL IPAD 7TH GEN 128G,APL IPAD 7TH GEN 128G
APL IPHONE 8 V2 128G,APL IPHONE 8 V2 128G
APL IPHONE 8 PLUS 128G,APL IPHONE 8 PLUS 128G
APL IPHONE 11 PRO MAX 64G,APL IPHONE 11 PRO MAX 64G
APL IPHONE 11 PRO MAX 256G,APL IPHONE 11 PRO MAX 256G
APL IPHONE 11 PRO MAX 512G,APL IPHONE 11 PRO MAX 512G
APL IPHONE 11 PRO 64G,APL IPHONE 11 PRO 64G
APL IPHONE 11 PRO 256G,APL IPHONE 11 PRO 256G
APL IPHONE 11 PRO 512G,APL IPHONE 11 PRO 512G
APL IPAD PRO 11 2GEN 256G,APL IPAD PRO 11 2GEN 256G
APL IPAD PRO 11 2GEN 512G,APL IPAD PRO 11 2GEN 512G
APL IPAD PRO 11 2GEN 1T,APL IPAD PRO 11 2GEN 1T
APL IPAD PRO 129 4GEN 512G,APL IPAD PRO 129 4GEN 512G
APL IPAD PRO 129 4GEN 1T,APL IPAD PRO 129 4GEN 1T
APL IPAD PRO 129 4GEN 256G,APL IPAD PRO 129 4GEN 256G
APL IPHONE SE2 64G,APL IPHONE SE2 64G
APL IPHONE SE2 128G,APL IPHONE SE2 128G
APL IPHONE SE2 256G,APL IPHONE SE2 256G
APL IPAD PRO 11 2GEN 128G,APL IPAD PRO 11 2GEN 128G
APL IPAD PRO 129 4GEN 128G,APL IPAD PRO 129 4GEN 128G
APL WAT SE 40 AL,APL WAT SE 40 AL
APL WAT SE 44 AL,APL WAT SE 44 AL
APL IPAD AIR 4 64G,APL IPAD AIR 4 64G
APL IPAD AIR 4 256G,APL IPAD AIR 4 256G
